package_id,Result_field
560,"Fumonisin B2"
561,"Fumonisin B2"
616,"Fumonisin B2"
617,"Fumonisin B2"
618,"Fumonisin B2"
631,"Fumonisin B2"
637,"Fumonisin B2"
643,"Fumonisin B2"
644,"Fumonisin B2"
645,"Fumonisin B2"
646,"Fumonisin B2"
550,"Fumonisin B3"
551,"Fumonisin B3"
556,"Fumonisin B3"
559,"Fumonisin B3"
560,"Fumonisin B3"
561,"Fumonisin B3"
616,"Fumonisin B3"
617,"Fumonisin B3"
618,"Fumonisin B3"
631,"Fumonisin B3"
637,"Fumonisin B3"
643,"Fumonisin B3"
644,"Fumonisin B3"
645,"Fumonisin B3"
646,"Fumonisin B3"
560,"Fusarenon X"
620,"Fusarenon X"
625,"Fusaric Acid"
558,Fusarium
333,"Glutamic Acid"
334,"Glutamic Acid"
421,"Glutamic Acid"
333,Glycine
334,Glycine
421,Glycine
360,Hemicellulose
451,Hemicellulose
334,Histidine
421,Histidine
448,Histidine
453,Histidine
547,HT2
550,HT2
551,HT2
559,HT2
560,HT2
561,HT2
564,HT2
616,HT2
617,HT2
618,HT2
631,HT2
634,HT2
637,HT2
639,HT2
640,HT2
641,HT2
642,HT2
643,HT2
644,HT2
645,HT2
646,HT2
333,Isoleucine
334,Isoleucine
421,Isoleucine
448,Isoleucine
453,Isoleucine
181,IVSD7-o
359,IVSD7-o
445,IVSD7-o
448,IVSD7-o
449,IVSD7-o
452,IVSD7-o
453,IVSD7-o
455,IVSD7-o
456,IVSD7-o
458,IVSD7-o
650,IVSD7-o
61,K
155,K
156,K
157,K
158,K
159,K
163,K
181,K
184,K
216,K
217,K
307,K
346,K
351,K
352,K
360,K
386,K
387,K
389,K
393,K
401,K
402,K
421,K
447,K
448,K
449,K
451,K
452,K
453,K
458,K
467,K
599,K
600,K
601,K
602,K
603,K
629,K
633,K
635,K
636,K
650,K
181,Lactic
288,Lactic
419,Lactic
448,Lactic
449,Lactic
453,Lactic
455,Lactic
364,Lactose
393,Lactose
333,Leucine
334,Leucine
421,Leucine
448,Leucine
453,Leucine
157,Lignin
184,Lignin
214,Lignin
307,Lignin
345,Lignin
346,Lignin
351,Lignin
352,Lignin
365,Lignin
391,Lignin
401,Lignin
434,Lignin
447,Lignin
448,Lignin
449,Lignin
451,Lignin
452,Lignin
453,Lignin
458,Lignin
650,Lignin
333,Lysine
334,Lysine
335,Lysine
421,Lysine
448,Lysine
451,Lysine
453,Lysine
333,Methionine
334,Methionine
336,Methionine
421,Methionine
448,Methionine
451,Methionine
453,Methionine
61,Mg
155,Mg
156,Mg
157,Mg
158,Mg
159,Mg
163,Mg
181,Mg
184,Mg
216,Mg
217,Mg
307,Mg
346,Mg
351,Mg
352,Mg
360,Mg
369,Mg
386,Mg
387,Mg
389,Mg
393,Mg
401,Mg
421,Mg
447,Mg
448,Mg
449,Mg
451,Mg
452,Mg
453,Mg
458,Mg
463,Mg
593,Mg
599,Mg
600,Mg
601,Mg
602,Mg
603,Mg
629,Mg
633,Mg
635,Mg
636,Mg
650,Mg
157,Mn
158,Mn
216,Mn
370,Mn
373,Mn
464,Mn
599,Mn
600,Mn
601,Mn
602,Mn
603,Mn
633,Mn
7,Moisture
16,Moisture
18,Moisture
19,Moisture
20,Moisture
21,Moisture
23,Moisture
24,Moisture
33,Moisture
38,Moisture
40,Moisture
41,Moisture
46,Moisture
49,Moisture
59,Moisture
61,Moisture
65,Moisture
70,Moisture
74,Moisture
75,Moisture
102,Moisture
147,Moisture
149,Moisture
155,Moisture
156,Moisture
157,Moisture
158,Moisture
159,Moisture
163,Moisture
180,Moisture
181,Moisture
184,Moisture
187,Moisture
190,Moisture
191,Moisture
192,Moisture
193,Moisture
194,Moisture
195,Moisture
196,Moisture
197,Moisture
199,Moisture
200,Moisture
212,Moisture
214,Moisture
215,Moisture
216,Moisture
217,Moisture
226,Moisture
231,Moisture
232,Moisture
248,Moisture
258,Moisture
272,Moisture
274,Moisture
275,Moisture
276,Moisture
279,Moisture
280,Moisture
282,Moisture
288,Moisture
307,Moisture
308,Moisture
333,Moisture
334,Moisture
335,Moisture
336,Moisture
337,Moisture
338,Moisture
339,Moisture
340,Moisture
341,Moisture
342,Moisture
343,Moisture
344,Moisture
345,Moisture
346,Moisture
348,Moisture
350,Moisture
351,Moisture
352,Moisture
354,Moisture
355,Moisture
358,Moisture
359,Moisture
360,Moisture
361,Moisture
364,Moisture
365,Moisture
369,Moisture
370,Moisture
